index,Name,Provider,Image_url,RTP,Pay_lines,Free_spins,Bonus_game
684,Bobby 7's,Amaya,bobby-7s-ss.jpg,95.15%,25,Yes,Yes
685,Fire Flies,Amaya,fire-flies-ss.jpg,,25,Yes,No
686,Mayan Riches,IGT,mayan-riches-ss-igt.jpg,,40,Yes,No
687,Hot Hot Volcano,Amaya,hot-hot-volcano-ss.jpg,95.411%,25,Yes,No
688,Amanda Panda,WGS Technology (Vegas Technology),amanda-panda-ss.jpg,Unknown,25,Yes,Yes
689,Merlin's Magic Respins,NextGen,merlins-magic-respins-slot.jpg,95.32%,50,Yes,Yes
690,Fruitoids,Yggdrasil,fruitoids-slot-yggdrasil.jpg,96.7%,25,Yes,No
691,Robotnik,Yggdrasil,robotnik-slot-yggdrasil.jpg,96.7%,40,Yes,No
692,Black Widow,IGT,black-widow-ss.jpg,96%,40,Yes,No
693,Miss Red,IGT,miss-red-igt-ss.jpg,96.16%,1024,Yes,Yes
694,Hells Grannies,Microgaming,hells-grannies-53d65a4070a0f80f0f8b4571.jpg, 95.14%,25,Yes,Yes
695,Jumpin' Rabbit,Microgaming,19abfcf1a6d809d74a1c07ed9b8be59410.jpg,95%,30,Yes,No
696,Reel Gangsters,Pragmatic Play,reel-gangsters-2.jpg,Unknown,20,Yes,Yes
697,Lion's Roar,Rival Gaming,lion-s-roar.jpg,Unknown,50,Yes,No
698,Vampire Vixen,WGS Technology (Vegas Technology),vampire-vixen-ss.jpg,Unknown,25,Yes,No
699,Dracula's Blood Bank,1X2gaming,dracula-s-blood-bank.jpg,Unknown,9,Yes,No
700,Platinum Lightning,BGAMING,platinum-lightning-slot-spftswiss.jpg,Unknown,25,Yes,No
701,Myth,Play'n Go,myth.jpg,97%,20,Yes,No
702,Rich Wilde And The Aztec Idols,Play'n Go,rich-wilde-and-the-aztec-idols-slot-playn-go.jpg,97%,15,Yes,Yes
703,Enchanted Meadow,Play'n Go,enchanted-meadow-slot-playn-go.jpg,96%,15,Yes,Yes
704,Jewel Box,Play'n Go,jewel-box-playn-go.jpg,96%, 15,No,Yes
705,Chinese New Year,Play'n Go,chinese-new-year-sloy-playn-go.jpg,97%,15,Yes,Yes
706,Enchanted Crystals,Play'n Go,enchanted-crystals-slot-playn-go.jpg,97%,243,Yes,Yes
707,Spanish Eyes,NextGen,spanish-eyes-ss.jpg,Unknown,25,Yes,Yes
708,Roman Chariots,WMS,roman-chariots.jpg,Unknown,80,Yes,Yes
709,Ninja Star,RTG,ninja-star.jpg,Unknown,25,Yes,No
710,Fire Queen,WMS,fire-queen-slot-wms-williams-interactive.jpg,95.95%,100,Yes,No
711,The Alchemist's Spell,Playtech,the-alchemists-spell-ss.jpg,,243,Yes,No
712,Astral Luck,Rival Gaming,astral-luck-ss.jpg,,50,Yes,Yes
713,Red Flag Fleet,WMS,red-flag-fleet-ss.jpg,,192,Yes,No
714,Golden Games,Playtech,golden-games.jpg,Unknown,25,Yes,No
715,Water Dragons,IGT,water-dragons-53eca6bd70a0f8b3058b456d.jpg,94.9%,30,Yes,No
716,"The 100,000 Pyramid",IGT,the-100-000-pyramid.jpg,95%,15,Yes,No
717,Owl Eyes,NextGen,owl-eyes-2.jpg,Unknown,50,Yes,No
718,Quick Hit Platinum,Bally,quick-hit-platinum.jpg,94.06%,30,Yes,No
719,Crown of Egypt,IGT,crown-of-egypt-igt.jpg,95.03%,1024,Yes,No
720,Druidess Gold,Amaya,druidess-gold-ss-amaya.jpg,,1296,Yes,Yes
721,California Gold,Microgaming,california-gold.jpg,95.20%,20,Yes,Yes
722,Mystique Grove,Microgaming,mystique-grove-53e09d5b70a0f88b498b4567.jpg,95.5%,243,No,Yes
723,Tales Of Egypt,Pragmatic Play,tales-of-egypt-ss.jpg,,20,Yes,No
724,Star Guardians,Evoplay,star-guardians-slot-evoplay-entertainment.jpg,96%,,Yes,Yes
725,Parthenon: Quest for Immortality,NetEnt,parthenon-quest-for-immortality-slot-netent.jpg,96.03%,10000,Yes,No
726,Book of 99,Relax Gaming,book-of-99-slot-relax-gaming.jpg,99%,10,Yes,No
727,Beat the Beast: Griffin's Gold,Thunderkick,beat-the-beast-griffins-gold-slot-screenshot.jpg,96.14%,9,Yes,No
728,Lord Merlin and the Lady of the Lake,Play'n Go,lord-merlin-and-the-lady-of-the-lake-slot-playngo.jpg,96.2%,10,Yes,No
729,Deadwood,Nolimit City,deadwood-slot-nolimit-city.jpg,96.03%,576,Yes,Yes
730,Mystery Museum,Push Gaming,mystery-museum-slot-push-gaming.jpg,97.04%,10,Yes,No
731,Golden Ticket 2,Play'n Go,golden-ticket-2-slot-playngo.jpg,96.5%,,Yes,No
732,Money Train 2,Relax Gaming,money-train-2-slot-relax-gaming.jpg,96.4%,40,Yes,Yes
733,The Dog House Megaways,Pragmatic Play,the-dog-house-megaways-slot-pragmaticplay-1.jpg,96.55%,117649,Yes,No
734,Gonzo's Quest Megaways,Red Tiger,gonzos-quest-megaways-slot-red-tiger-gaming.jpg,95.7%,117649,Yes,No
735,Reel Keeper,Red Tiger,reel-keeper-slot-red-tiger-gaming.jpg,95.72%,10,Yes,No
736,Fruit Party,Pragmatic Play,fruit-party-slot-pragmaticplay.jpg,96.47%,,Yes,No
737,John Hunter and the Book of Tut,Pragmatic Play,john-hunter-and-the-book-of-tut-slot-pragmaticplay.jpg, 96.5%,10,Yes,No
738,Wild Frames,Play'n Go,wild-frames-slot-playngo.jpg,96.5%,1,Yes,No
739,Testament,Play'n Go,testament-slot-playngo.jpg,94.22%,243,Yes,No
740,Wings Of Ra,Red Tiger,wing-of-ra-slot-red-tiger-gaming.jpg,95.69%,10,Yes,No
741,Ocean's Treasure,NetEnt,oceans-treasure-slot-netent.jpg,95.99%,15,Yes,No
742,Rome: Caesar's Glory,Playson,rome-caesars-glory-slot-playson.jpg,96.23%,64,Yes,No
743,Ozzy Osbourne Videos,NetEnt,ozzy-osbourne-video-slots-slot-netent.jpg,96.3%,20,Yes,Yes
744,Aladdin and the Sorcerer,Pragmatic Play,aladdin-and-the-sorcerer-slot-pragmaticplay.jpg,96.23%,20,Yes,No
745,Golden Glyph,Quickspin,golden-glyph-slot-quickspin.jpg,96.19%,Cluster Pays,Yes,No
746,Voodoo Gold,ELK Studios,voodoo-gold.jpg,96.1%,262144 ,Yes,No
747,Tractor Beam,Nolimit City,tractor-beam.jpg, 96.1%,20,Yes,No
748,Grand Spinn,NetEnt,grand-spinn.jpg,96.19%,1,No,No
749,Demon,Play'n Go,demon-slot-playngo.jpg,96.5%,30,Yes,No
750,Conan Video,NetEnt,conan-video-slot-netent.jpg,96.01%,24,Yes,No
751,Razor Shark,Push Gaming,razor-shark-slot-push-gaming.jpg,96.7%,20,Yes,No
752,Primal MegaWays,Blueprint,primal-megaways.jpg,96.7%,46566,Yes,
753,The Great Chicken Escape,Pragmatic Play,the-great-chicken-escape-slot-pragmaticplay.jpg,96.5%,20,Yes,No
754,John Hunter and the Aztec Treasure,Pragmatic Play,john-hunter-and-the-aztec-treasure-slot-pragmaticplay.jpg,96.5%,7776,Yes,No
755,Rich Wilde and the Tome of Madness,Play'n Go,rich-wilde-and-the-tome-of-madness.jpg,96.5%,9,Yes,No
756,Cash-O-Matic,NetEnt,cashomatic-slot-netent.jpg,92.85-96.33% ,1024,Yes,
757,Spinsane,NetEnt,spinsane-slot-slot-netent.jpg,96.25%,27,Yes,No
758,Mechanical Orange,BGAMING,mechanical-orange-slot-bgaming.jpg,96%,1,No,No
759,Narcos Video,NetEnt,narcos-videoslot-slot-netent.jpg, 96.23%,243,Yes,No
760,Temple Tumble Megaways,Relax Gaming,temple-tumble-megaways.jpg,96.25%,46656,Yes,Yes
761,Treasure Horse,Pragmatic Play,treasure-horse-slot-pragmaticplay.jpg,96.52%,18,Yes,Yes
762,Strolling Staxx: Cubic Fruits,NetEnt,strolling-staxx-cubic-fruits-slot-netent.jpg,95.95%,10,Yes,No
763,Wild Falls,Play'n Go,wild-falls-slot-playn-go.jpg,96%,9,Yes,No
764,Chillipop,Betsoft,chillipop.jpg,95.38%,Cluster Pays,Yes,No
765,Tiger's Glory,Quickspin,tigers-glory-slot-quickspin.jpg,,4096,Yes,No
766,La Dolce Vita,Gamomat,la-dolce-vita.jpg,,10,Yes,No
767,Wild Bazaar,NetEnt,wild-bazaar.jpg,96.15%,26,Yes,No
768,Halloween Jack,NetEnt,halloween-jack-slot-netent.jpg,96.2%,20,Yes,No
769,Buffalo Rising MegaWays,Blueprint,buffalo-rising-megaways.jpg,96.5%,117649,Yes,No
770,Ancient Magic,Gamomat,ancient-magic.jpg,,5,Yes,No
771,Ark of Mystery,Quickspin,ark-of-mystery-slot-quickspin.jpg,96.53%,20,Yes,No
772,Fat Rabbit,Push Gaming,fat-rabbit.jpg,96.45%,50,Yes,No
773,Danger High Voltage,Big Time Gaming,danger-high-voltage-ss.jpg,95.67%,4096,Yes,No
774,BigBot Crew,Quickspin,big-bot-crew-slot-quickspin.jpg,96.58%,40,Yes,No
775,Street Magic,Play'n Go,street-magic-slot-playn-go.jpg,,20,Yes,No
776,Berryburst,NetEnt,berryburst-slot-netent.jpg,96.56%,Cluster Pays,Yes,No
777,Sizzling Spins,Play'n Go,sizzling-spins-slot-play-n-go.jpg,96.4%,243,Yes,No
778,Donuts,Big Time Gaming,donuts.jpg,,,Yes,Yes
779,The Golden Owl of Athena,Betsoft,the-golden-owl-of-athena-slot-betsoft.jpg,,10,Yes,No
780,5 Lions,Pragmatic Play,5-lions-slot-pragmaticplay.jpg,,243,Yes,Yes
781,Lost Relics,NetEnt,lost-relics-slot-netent.jpg,96.3%,,Yes,No
782,House of Doom,Play'n Go,house-of-doom-slot-playngo.jpg,,10,Yes,No
783,Gold King,Play'n Go,gold-king-slot-playn-go.jpg,95.53%,20,Yes,Yes
784,Wonder Hounds,NextGen,wonder-hounds-slot-a-very-foxin-christmas-slot-nextgen.jpg,96.4%,25,Yes,No
785,Universal Monsters: The Phantom's Curse,NetEnt,universal-monsters-the-phantoms-curse-slot-netent.jpg,96.57%,40,Yes,No
786,Planet Fortune,Play'n Go,planet-fortune-slot-playn-go-2.jpg,96.5%,40,Yes,Yes
787,Twin Spin Deluxe,NetEnt,twin-spin-deluxe-slot-netent.jpg,96.6%,,No,No
788,Rosella's Lucky Fortunes,CORE Gaming,rosellas-lucky-fortunes.jpg,94.5%,20,Yes,No
789,7 Piggies,Pragmatic Play,7-piggies-slot-pragmatic-play.jpg,97.03%,7,Yes,No
790,Wild Spells,Pragmatic Play,wild-spells-slot-pragmatic-play.jpg,96.4%,25,Yes,No
791,Emojiplanet,NetEnt,emoji-planet-slot-netent.jpg,96.4%,20,Yes,No
792,Fire & Steel,Betsoft,fire-steel-slot-betsoft.jpg,,20,Yes,No
793,Copy Cats,NetEnt,copy-cats-slot-netent.jpg,,25,Yes,No
794,Fortune Girl,Microgaming,fortune-girl-slot-microgaming.jpg,,15,Yes,No
795,Viking Runecraft,Play'n Go,viking-runecraft-slot-playn-go.jpg,Unknown,1,Yes,Yes
796,Money Farm 2,GameArt,money-farm-2-slot-gameart.jpg,,25,Yes,No
797,Ted,Blueprint,ted.jpg,95.8%,20,Yes,No
798,Forest Mania,iSoftBet,forest-mania.jpg,95.62%,100,Yes,No
799,Jungle Spirit: Call of the Wild,NetEnt,jungle-spirit-call-of-the-wild-slot-netent.jpg,96.47%,243,Yes,No
800,The Heat is On,Microgaming,the-heat-is-on-slot-microgaming.jpg,,45,Yes,No
801,Hot Sync,Quickspin,hot-sync-slot-quickspin.jpg,96.29%,20,Yes,No
802,Sam on the Beach,ELK Studios,sam-on-the-beach-slot-elk-studios.jpg,96.3%,243,Yes,No
803,Jade Magician,Play'n Go,jade-magician-slot-playn-go.jpg,,15,Yes,No
804,Dragon Kingdom,Pragmatic Play,dragon-kingdom-slot-pragmatic-play.jpg,96.4%,25,Yes,No
805,Diamond Dragon,Rival Gaming,diamond-dragon.jpg,,50,Yes,No
806,Phoenix Sun,Quickspin,phoenix-sun-2.jpg,96.08%,243,Yes,No
807,Tarzan,Microgaming,tarzan-slot-microgaming-2.jpg,,40,Yes,Yes
808,Glorious Empire,NextGen,glorious-empire.jpg,96.92%,40,Yes,No
809,Manic Millions,NextGen,manic-millions.jpg,95.24%,25,Yes,No
810,Holiday Season,Play'n Go,holiday-season-2.jpg,96.51%,10,Yes,No
811,Bounty Hunt,Chance Interactive,bounty-hunt.jpg,95.53%,25,Yes,No
812,Wild Toro,ELK Studios,wild-toro-3.jpg,96.4%,178,Yes,Yes
813,Shanghai Beauty,Microgaming,shanghai-beauty-slot-microgaming.jpg,,9,Yes,No
814,Dragon Shrine,Quickspin,dragon-shrine-2.jpg,,40,Yes,No
815,Charms and Witches,NextGen,charms-and-witches.jpg,95.53%,25,Yes,No
816,Windy Farm,Rival Gaming,windy-farm.jpg,,50,Yes,No
817,Journey to the West,Pragmatic Play,journey-to-the-west.jpg,96.47%,25,Yes,No
818,Star Cash,GameArt,star-cash.jpg,,10,Yes,No
819,Spectra,Thunderkick,spectra-slot-thunderkick.jpg,96.4%,30,Yes,No
820,Buffalo Blitz,Playtech,buffalo-blitz-2.jpg,,4096,Yes,No
821,Sunset Delight,Thunderkick,sunset-delight-slot-thunderkick.jpg,96.3%,5,Yes,
822,Dwarven Gold Deluxe,Pragmatic Play,dwarven-gold-deluxe.jpg,,25,Yes,No
823,Thunderbird,Rival Gaming,thunderbird.jpg,,50,Yes,No
824,Leprechaun Goes to Hell,Play'n Go,leprechaun-goes-to-hell-slot-playn-go.jpg,96.54%,25,Yes,Yes
825,El Torero,Merkur,el-torero.jpg,96.08%,10,Yes,No
826,Electric Diva,Microgaming,electric-diva-slot-microgaming.jpg,,40,Yes,Yes
827,Books & Bulls,Gamomat,books-bulls.jpg,,5,Yes,No
828,Fire Joker,Play'n Go,fire-joker.jpg,96.15%, 5,Yes,No
829,Queen of Wands,Playtech,queen-of-wands.jpg,Unknown,40,Yes,No
830,Spud O'Reilly's Crops of Gold,Playtech,spud-reilly.jpg,,20,Yes,Yes
831,Blazing Goddess,Lightning Box,blazing-goddess.jpg,95.38%,1024,Yes,No
832,Wolfpack Pays,NextGen,wolfpack-pays.jpg,97.75,243,Yes,No
833,Apollo Rising,IGT,apollo-rising.jpg,92.56%,100,No,No
834,Win Sum Dim Sum,Microgaming,win-sum-dim-sum-slot-microgaming.jpg,Unknown,9,Yes,No
835,Cowboys & Aliens,IGT,cowboys-aliens.jpg,Unknown,9,Yes,Yes
836,Aztec Princess,Play'n Go,aztec-princess-slot-playn-go.jpg,Unknown,20,Yes,No
837,Hot Safari,Pragmatic Play,hot-safari.jpg,96.17%,25,Yes,No
838,Mighty Kong,Pragmatic Play,mighty-kong.JPG,Unknown,50,Yes,No
839,Wacky Waters,Playtech,wacky-waters.JPG, Unknown,15,Yes,No
840,4 Seasons,Betsoft,4-seasons-slot-betsoft.jpg,Unknown,30,Yes,No
841,A Dragon's Story,NextGen,a-dragons-story.JPG,95.223-95.618%,25,Yes,Yes
842,Witch Pickings,NextGen,witch-pickings.JPG,95.79-95.93%,25,Yes,No
843,Book of Ra 6,Novomatic,book-of-ra-6-slot-novomatic.jpg,Unknown,10,Yes,No
844,Fortunes of the Fox,Playtech,fortunes-of-the-fox.JPG,Unknown,25,Yes,Yes
845,Blazing Star,Merkur,blazing-star-2.JPG,96.31%,5,No,No
846,Funky Fruits Farm,Playtech,funky-fruits-farm.JPG,92.07%,20,Yes,Yes
847,King Kong,Playtech,king-kong-ss.jpg,Unknown,20,Yes,Yes
848,Spin Sorceress,NextGen,spin-sorceress.JPG,Unknown,243,Yes,No
849,Second Strike,Quickspin,second-strike.JPG,96.22%,10,No,No
850,Ace Ventura,Playtech,ace-ventura.JPG,Unknown,243,Yes,No
851,Mermaid's Pearl,Novomatic,mermaids-pearl-2.JPG,96.17%,9,Yes,No
852,Aladdin's Legacy,Amaya,aladdins-legacy.JPG,Unknown,20,Yes,Yes
853,Cirque dus,Rival Gaming,cirque-du-slots.JPG,Unknown,25,Yes,No
854,Böb: The Epic Viking Quest for the Sword of Tullemutt,NetEnt,bb-the-epic-viking-quest-for-the-sword-of-tullemutt-slot-netent.jpg,98%,25,Yes,Yes
855,Festival Queens,2by2 Gaming,festival-queens.jpg,Unknown,40,Yes,No
856,Cherry Love,Playtech,cherry-love.jpg,Unknown,30,Yes,No
857,Jewel Blast,Quickspin,jewel-blast.jpg,96.52%,25,No,No
858,Conga Party,Microgaming,conga-party.jpg,Unknown,30,Yes,No
859,Hidden Valley,Quickspin,hidden-valley.jpg,Unknown,40,Yes,No
860,Crystal Queen,Quickspin,crystal-queen-slot-quickspin.jpg,Unknown,56,Yes,Yes
861,Secret Elixir,Novomatic,secret-elixir.jpg,95.05%,40,Yes,No
862,Plenty on Twenty,Novomatic,plenty-on-twenty.jpg,95.61%,20,Yes,No
863,Indian Spirit,Novomatic,indian-spirit.jpg,95.34%,20,Yes,No
864,Columbus Deluxe,Novomatic,columbus-deluxe.jpg,95.02%,10,Yes,No
865,Starmania,NextGen,starmania.jpg,97.867%,10,Yes,Yes
866,Ocean Oddities,RTG,118-444224.jpg,Unknown,25,Yes,No
867,Dead World,1X2gaming,dead-world.jpg,Unknown,50,Yes,No
868,Siberian Siren,Amaya,siberian-siren-ss.jpg,,40,Yes,Yes
869,Moon Temple,Amaya,moon-temple-ss.jpg,,80,Yes,Yes
870,Tycoon Towers,Rival Gaming,tycoon-towers.jpg,Unknown,50,Yes,No
871,Beetle Mania Deluxe,Novomatic,beetle-mania.jpg,Unknown,10,Yes,No
872,Weekend in Vegas,Betsoft,weekend-in-vegas-betsoft.jpg,Unknown,243,Yes,Yes
873,Flame Dancer,Novomatic,flame-dancer.jpg,Unknown,20,No,No
874,7 Monkeys,Pragmatic Play,7-monkeys.jpg,Unknown,7,No,No
875,World of Oz,Rival Gaming,orld-of-z.jpg,Unknown,50,Yes,No
876,Sunshine Reef,Microgaming,sunshine-reef-slot-microgaming.jpg,Unknown,9,No,No
877,Sassy Bingo,Microgaming,assy-ingo.jpg,Unknown,9,No,Yes
878,Path of the Wizard,Microgaming,ath-of-the-izard.jpg,Unknown,25,Yes, Yes
879,Phoenix and the Dragon,Microgaming,hoenix-and-the-ragon.jpg,Unknown,25,Yes,Yes
880,Eye of Ra,Amatic Industries,ye-of-a.jpg,Unknown,720,Yes,No
881,Miss White,IGT,iss-hite-2-5562f9227528f76e2b8b4571.jpg,Unknown,1024,Yes,Yes
882,In Bloom,IGT,in-bloom-slot-igt.jpg,Unknown,40,Yes,Yes
883,Miss Kitty,Aristocrat,iss-itty.jpg,94.94%,50,Yes,Yes
884,Sevens High,Quickspin,evens-igh.jpg,96.50%,25,Yes,No
885,Firestorm,Quickspin,irestorm.jpg,95.57%,25,Yes,No
886,River of Riches,Rabcat,iver-of-iches.jpg,Unknown,25,Yes,Yes
887,Monkey In The Bank,Amaya,monkey-in-the-bank.jpg,Unknown,20,Yes,No
888,Swinging Sweethearts,Rival Gaming,swinging-sweethearts-slot-Rival Gaming.jpg,Unknown,50,Yes,No
889,Sceptre of Cleo,Oryx,html-sceptre-of-cleo1032x720.jpg,Unknown,9,Yes,Yes
890,Graveyard Shift,Pragmatic Play,graveyardshiftss3.jpg,Unknown,25,Yes,Yes
891,Troll Hunters,Play'n Go,troll-hunters-slot-playn-go.jpg,96.73%,,Yes,Yes
892,The Epic Journey,Quickspin,the-epic-journey.jpg,Unknown,100,Yes,Yes
893,Elemental 7,Saucify,elemental-7.jpg,Unknown,10,Yes,No
894,Plenty O' Fortune,Playtech,plenty-o-fortune-slot-playtech.jpg,Unknown,20,Yes,Yes
895,Beauty Salon,Pragmatic Play,beauty-salon-2.jpg,Unknown,20,Yes,Yes
896,Spell Of Odin,2by2 Gaming,spell-of-odin.jpg,Unknown,25,Yes,No
897,Faeries Fortune,Big Time Gaming,faeries-fortune.jpg,Unknown,40,Yes,Yes
898,Nemo's Voyage,WMS,nemo-s-voyage.jpg,,40,Yes,No
899,Le Chocolatier,SkillOnNet,le-chocolatier.jpg,Unknown,20,No,Yes
900,Hot Wheels,SkillOnNet,empty-slot.jpg,Unknown,20,Yes,No
901,Magic Wand,WMS,magic-wand.jpg,96%,25,Yes,No
902,Crystal Forest,WMS,crystale-forest.jpg,96%,25,No,No
903,Bruce Lee - Dragon's Tale,WMS,empty-slot.jpg,95.92%,80,Yes,No
904,Arabian Tales,Rival Gaming,arabian-tales.jpg,Unknown,50,Yes,No
905,Alice and the Red Queen,1X2gaming,alice-and-the-red-queen.jpg,Unknown ,25,Yes,No
906,Elvis the King Lives,WMS,elvis-the-king-lives-slot-wms.jpg,96.09%,80,No,No
907,Dark Thirst,1X2gaming,dark-thirst.jpg,97.3%,25,No,No
908,The Three Stooges Brideless Groom,RTG,the-three-stooges.jpg,Unknown,33,Yes,Yes
909,5 Knights,NextGen,5-knights.jpg,Unknown,25,Yes,No
910,Savanna King,Genesis,savanna-king.jpg,96.21%,1024,Yes,No
911,Perfect Date,Saucify,perfect-date-slot-saucify.jpg,,30,Yes,No
912,Prowling Panther,IGT,powling-panther.jpg,96.09%,720,Yes,No
913,Gods of Olympus,1X2gaming,gods-of-olympus-ss.jpg,Unknown,20,Yes,Yes
914,Imperial Wars,EGT Interactive,imperial-wars-2.jpg,Unknown,20,Yes,No
915,The Vampires,Endorphina,the-vampires-slot-endorphina.jpg,96%,25,Yes,Yes
916,Golden Gorilla,Rival Gaming,golden-gorilla.jpg,94.26%,50,Yes,Yes
917,Ninja Master,SkillOnNet,ninja-master.jpg,95.05%,20,Yes,No
918,Gingerbread Lane,Genesis,gingerbread-lane.jpg,95.555%,25,Yes,Yes
919,Eastern Dragon,NextGen,easter-dragon-slot-nextgen.jpg,,20,Yes,No
920,Ninja Chef,iSoftBet,ninja-chef.jpg,Unknown,30,Yes,Yes
921,The Lab,ELK Studios,the-lab-slot-elk-studios.jpg,96.30%,15,Yes,No
922,Cash Wizard,Bally,cash-wizard.jpg,93.99%,30,Yes,Yes
923,Temple Quest,Big Time Gaming,temple-quest.jpg,96.17%,40,Yes,Yes
924,Gold Strike,Games Warehouse,gold-strike.jpg,Unknown,20,,Yes
925,Sweet Success,Saucify,sweet-success.jpg,Unknown,50,Yes,Yes
926,Cool Stone Age,Pragmatic Play,cool-stone-age.jpg,Unknown,20,Yes,Yes
927,Leonardo's Loot,Rival Gaming,leonardos-loot.JPG,, 50,Yes,
928,Haunted Night,Genesis,haunted-night-3.jpg,Unknown,243,Yes,Yes
929,Costume Party,Rival Gaming,costume-party.jpg,Unknown,3,,No
930,Wild Carnival,Rival Gaming,wild-carnival-2.JPG,Unknown,50,Yes,Yes
931,Superman: Last Son of Krypton,Amaya,superman-last-son-of-krypton-ss.jpg,,25,Yes,No
932,Lucky Blue,BGAMING,lucky-blue-slot-softswiss.jpg,Unknown,9,Yes,No
933,Reel Fish,Cayetano Gaming,reel-fish.jpg,95.10%,25,Yes,Yes
934,Yahtzee,WMS,yahtzee-2.jpg,96%,25,No,Yes
935,Teddy Bear's Picnic,NextGen,teddy-bear-s-picnic-ss.jpg,Unknown,25,Yes,No
936,Maid O' Money,NextGen,maid-omoney-ss.jpg,Unknown,25,Yes,Yes
937,Big Foot,NextGen,big-foot-slot-ss.jpg,95.01%,25,Yes,Yes
938,1Can 2Can,NextGen,1can-2can-slot-nextgen.jpg,Unknown,25,Yes,Yes
939,Sugar Trail,Quickspin,sugar-trail-2.JPG,Unknown,40,Yes,Yes
940,Aloha Island,Bally,aloha-island.jpg,94.02%,50,Yes,No
941,Diggin' Deep,Rival Gaming,diggin-deep-ss.jpg,92.41%,20,Yes,Yes
942,Temptation Queen,WMS,temptation-queen-ss.jpg,95.99%,30,No,No
943,Five Reel Bingo,Rival Gaming,five-reel-bingo-2-ss.JPG,,20,Yes,Yes
944,Werewolf Wild,Aristocrat,werewolf-wild-ss.jpg,,25,Yes,No
945,Red Baron,Aristocrat,red-baron-ss-2.jpg,,243,Yes,No
946,Big Ben,Aristocrat,big-ben-ss.jpg,,25,Yes,No
947,Tails of New York,Saucify,tails-of-new-york-ss.jpg,,40,Yes,Yes
948,Arctic Agents,Microgaming,arctic-agents.jpg,,9,Yes,No
949,Max Cash,Saucify,max-cash-ss-2.jpg,,50,Yes,No
950,Western Belles,IGT,western-belles.jpg,96.32%,40,Yes,No
951,Dungeons and Dragons: Treasures of Icewind Dale,IGT,treasure-of-icewind-dale.jpg,96.52%,30,Yes,No
952,Venetian Rose,NextGen,venetian-rose.jpg,95.08%,25,Yes,No
953,Riches of the Sea,2by2 Gaming,riches-of-the-sea.jpg,96%,20,Yes,No
954,Wizard of Odds,Novomatic,wizard-of-odds-slot-novomatic.jpg,,30,Yes,Yes
955,Journey of the Sun,Microgaming,journey-of-the-sun.jpg,95.88%,25,Yes,Yes
956,In It to Win It,Microgaming,in-it-to-win-it.jpg,96%,100,Yes,No
957,Disco Night Fright,Microgaming,disco-night-fright.jpg,95.36%,243,Yes,No
958,Steam Punk Heroes,Microgaming,steam-punk-heroes-53e0afea70a0f85c388b4570.jpg,95.88%,25,Yes,No
959,Sovereign of the Seven Seas,Microgaming,sovereign-of-the-seven-seas-53e0aa0370a0f8b0388b456c.jpg,96%,40,Yes,Yes
960,Magic Boxes,Microgaming,magic-boxes-53db921170a0f8326e8b4572.jpg,96.07%,20,Yes,No
961,Joker Jester,NextGen,joker-jester-53db4e5370a0f88e548b456c.jpg,Unknown,20,No,Yes
962,Gothic,Microgaming,gothic.jpg,95.33%,243,No,Yes
963,Cosmic Invaders,Microgaming,cosmic-invaders-2.jpg,,30,Yes,Yes
964,Transylvania,Pragmatic Play,transylvania-ss.jpg,,20,Yes,Yes
965,Potion Factory,Leander Games,potion-factory-ss.jpg,96.99%,40,Yes,Yes
966,Glorious Rome,Pragmatic Play,glorious-rome-ss1.jpg,,20,Yes,No
967,Dragon,Leander Games,dragon-slot.jpg,,20,Yes,Yes
968,Murder Mystery,Playtech,murder-mystery-ss.jpg,96.5%,40,Yes,Yes
969,House of Scare,GamesOS,house-of-scare-ss.jpg,93.02%,25,Yes,Yes
970,100 Ladies,IGT,100-ladies.jpg,Unknown,100,Yes,No
971,Wicked Riches,WMS,wizard-of-oz-wicked-riches-ss.jpg,96.01%,30,No,Yes
972,Dragons Inferno,WMS,dragons-inferno-ss-2.jpg,,30,No,Yes
973,Religion of Champions Brasil,Pragmatic Play,religion-of-champions-brasil-ss.jpg,,20,Yes,Yes
974,Beowulf,Quickspin,beowulf-ss.jpg,,25,Yes,Yes
975,The Zombies,Amaya,the-zombies-ss.jpg,,50,Yes,Yes
976,Grail Maiden,WGS Technology (Vegas Technology),grail-maiden-ss.jpg,,,Yes,No
977,The Last Pharaoh,Saucify,the-last-pharaoh-ss.jpg,,25,Yes,Yes
978,Juju Jack,Amaya,juju-jack-ss.jpg,,25,Yes,No
979,Gulliver's Travels,Amaya,gullivers-travels-ss.jpg,,243,Yes,No
980,Gold Ahoy,Amaya,gold-ahoy-ss.jpg,95.38%,25,Yes,Yes
981,Fumi's Fortune,Amaya,fumis-fortune-ss.jpg,,25,Yes,No
982,Choy Sun Doa,Aristocrat,choy-sun-doa-ss.jpg,,243,Yes,No
983,Captain Nemo,Amaya,captain-nemo-ss.jpg,,20,No,Yes
984,Flip Flap,SkillOnNet,flip-flap-ss-3.jpg,94.9%,10,Yes,Yes
985,Baywatch,Playtech,baywatch-ss.jpg,95.48%,30,Yes,Yes
986,Miles Bellhouse and Curious Machine,Betsoft,miles-bellhouse-and-his-curious-machine-ss.jpg,95.5%,30,Yes,Yes
987,Wooly World,Microgaming,wooly-world-ss.jpg,Unknown,20,Yes,No
988,Winter Gold,Microgaming,winter-gold-ss.jpg,Unknown,15,Yes,Yes
